mos,fr
"Raoog sã n kaoos koomẽ me, a kõn lebg yẽbg ye.",Le séjour prolongé dans l'eau ne transforme pas le bout de bois en caïman. (Proverbe: on ne doit pas renier son identité au profit d'une identité étrangère. Pas de singerie donc.)
A raoola a meng ne sʋʋg n gũud a ra-taagã.,Il s'est arme d'un couteau et attend son rivale.
"F tʋmame, raoolem la woto!","Tu travailles (durement), c'est ça être viril !"
Ko-rare.,Grande étendu d'eau.
"Yɩbr-kʋdre yeela a biig t'a gũus ne rɩɩb sẽn dɩga, tɩ rasaare me rɩg a sɛɛga.","Le vieux charognard dit à son petit de se méfier de la nourriture qui est posée par terre parce qu'il y a aussi un bâton posé à côté. (proverbe: toutes opportunités qui se présentent ne sont pas sans risque, il faut toujours être vigilent.)"
"Niig koabga, rasaar a ye. Neb koabga, rasaya koabga.","Un seul bâton pour cent bœufs. Cent bâtons pour cent personnes. (Proverbe: la question du management, de la gestion des ressources humaines doit être bien être maîtrisée pour garantir la cohésion au sein d'un groupe afin d'atteindre les objectifs fixés)"
"A Zã yeelame tɩ rasem a tãab daare, a na wa. ",Jean a dit qu'il viendra le troisième jour.
A tɩ maana rasem a wãna?,Il va faire combien de jours ?
Mam ka le yãt-a rasmã noorã ye.,Je ne le vois plus ces jours-ci.
M rata rɩɩbo.,Je veux de la nourriture.
"Ba, ba-rãmba.","Père, pères."
A yɩka lalg zug n tĩimd t'a na-sẽbrã rãmbe.,Il est sauté du mur et s'est foulé la cheville.
A rãmbda zẽedã tɩ ra tabend ye.,Elle remue la sauce.
Saagã rãmbdame.,L'orage fait des tonnerres. 
A nodr n dãms t'a yãbda.,Sa blessure s'est ravivé et il pelure.
A redsda biigã t'a karme sõama.,Il contrains l'enfant de bien étudier.
kõ n le reeg yaa nug-tõonese.,Tu n'acceptes pas ma parole.
tɩ reeg yẽ me t'a paam n wa rɩ.,Il n'a pas pu bien cultiver et l'herbe a envahi son champ.
Biig reemda a sẽn pa yãbẽ zaamẽ.,"L'enfant joue là où il n'a pas pleuré hier. (Proverbe: quand quelqu'un a été victime d'une situation donnée, que cela soit de sa faute ou pas, il doit tirer leçons pour éviter que cette situation ne se répète.)"
"B sã n deem n zoose, bɩ f reem n yɩke.","Si on joue à faire semblant de lancer, il faut jouer à s'envoler. (proverbe: ce qui n'est pas encore établi a l’apparence d'être préjudiciable, il faut prendre les mesures appropriées pour qu'il ne se produit pas.)"
Maam n yɩɩnd tɩ yãmb reesdẽ.,Je chante et vous chantez le refrain.
Yɩɩn-kʋdg ka be reesg ye.,"On n'a pas besoin d'exhorter les gens à la reprise du refrain pour une vieille chanson. (Proverbe, sens: une situation déjà connue n'a pas besoin de longues explications)"
Reezõ yaa porvẽns- rãmb sẽn naag taaba t’a taoor soaba boond tɩ Guvɛɛrneere ,Un ensemble de provinces dirigées par un gouverneur 
A rella tɩɩgã.,Il s’est appuyé à l'arbre.
Kutã golmame t'a rems-a.,Il redresse le fer tordu.
Kʋlgã rendga ne koom.,Le marigot est plein d'eau qui stagne.
Pagã yaa bãaneg reng-renge.,La femme est effilée et longue.
Reng n ta kʋlgẽ n yaool n toog koom.,Arrive d'abord au marigot avant de puiser l'eau.
Nag-reongo. Bʋg-reongo.,Enclos de bœufs. Enclos pour chèvres.
reoolg yaa kʋl-zẽoogo; koomã sã n sɛ a suta tẽnga.,un poisson qui s'enfonce dans le sol quand l'eau vient à tarir.
"A sẽn gom goam-põaasã, yellã ka resge?","Comme il a parlé des paroles grossières, est-ce que l'affaire n'est pas gâté ?"
"Ret baaga, reoog n kʋʋd-a.","Le chien chasseur de phacochères se fera tuer par un phacochère. (Proverbe: nous devons être prudents, vigilants et modérés dans nos passions et nos habitudes.)"
A maana rẽ fãa fo yĩnga.,Il a fait tout cela pour toi.
"Rẽ n so, tɩ b tʋm tɩ b bool-a.",C'est pour cela qu'on a envoyé pour le convoquer.
"Dẽ poore, a Zã kẽnga Bobo soolmẽ.","Après cela, Jean est allé dans Bobo."
Rẽ tɩ mobilã nan ka be ye.,A ce moment il n'y avait pas encore des voitures.
"M ka baood f noor ye. Rẽ wã, bas-m sɩɩ.","Je n'ai pas demandé ton opinion. Donc, laisse-moi tranquille."
"Bũmb fãa sɛɛb wakat kolgame. Dẽ wã yĩnga, yɩ-y neb sẽn tar yam la gũus-m-mens-rãmba.",La fin de toutes choses est proche. C'est pourquoi soyez des gens sensés et sobres.
A kẽesa baagã la? Rẽ yẽ!,A-t-il enfermé le chien ? Évidemment !
"Rẽ zugẽ, bãmb kuilame.","Après cela, ils sont rentré chez eux."
Sõd-kãng sẽn yɩ dẽenem soabã zĩnda Burkĩna.,Ce recensement était le premier au Burkina.
Bʋd-rẽengã ki wã zoe n yiime.,Le mil qu'on a semé en premier est déjà sorti.
Pek f nugã tɩ yaa rẽgdo.,"Lave tes mains, car ils sont sales."
Da sak-y tɩ yãmb sũyã rẽgem ye.,De laissez pas salir vos cœurs.
Fuugã rẽgmame.,L'habit est sali.
Rẽnd yaa sõama.,Cela est bien.
Fo rẽnda la woto.,C'est ta part comme ça.
Rẽnda fo tara bʋʋm.,Donc tu as raison.
Rẽndame tɩ d sa tʋʋmdã.,Il faut qu'on finisse le travail.
Kaam rɛɛda koom zugu.,L'huile flotte sur l'eau.
fo rɛɛda yɛ?,Où vas-tu?
Sã n bõr-a koomẽ a rɛɛgdame.,Si tu le plonge dans l'eau il va remonter à la surface.
Biigã yaa bãaneg rɛnglga.,L'enfant est mince.
Bi-ribla. No-ribla.,Garçon. Coquelet.
"Ro-kãngã ribsdame, a ka le tar pãng ye.","Cette case est devenu faible, elle n'est plus stable."
A ridga mam yĩngã.,Elle masse mon corps.
Fo gomda ne-a t'a sĩnd a noorã n yɛs riga.,Tu parles avec lui et il reste imperturbable.
"Nin-kẽem rigb yaa f pa na n kẽ, bɩ f yi.","Quand on veut chasser un vieux (personne adulte) on lui dit: si tu ne veux pas entrer, il faut sortir. (Proverbe: quand quelqu'un ne désire pas vous rendre service, il trouvera des stratégies implicites pour manifester son refus, sa mauvaise volonté.)"
"Wẽnd na lok laooga, la a lok a rigda.","Que Dieu gratifie le rat et gratifie celui qui le chasse. (Proverbe: chaque fois qu'un homme poursuit un objectif, il souhaiterait avoir mieux que cet objectif. Lorsque quelqu'un pourchasse un rat et croise un gibier gros et gras à sa portée, il abandonnera le rat pour poursuivre ce gibier. Ainsi le chasseur et le rat sont gagnants.)"
Waood n tar-b tɩ b rigda.,Ils ont froid et tremblent.
A rigda bʋʋsã tɩ b ra wãb ki wã ye.,Il chasse les chèvres pour qu'elles ne mangent pas le mil.
A riga Bobo.,Il va à Bobo.
B ling-a lame t'a yaees n digimdi.,Ils l'ont surpris et il était tressailli.
A koome t'a nugã wɛglem n lebg riglimdi.,Il a cultivé et sa main est devenu rigide.
Pag rignoorã.,Ferme la porte.
Wobg nemd yaa rilsindi.,La viande d'éléphant est dur.
Rɩk kugrã n rĩ sɛbã tɩ sobgã na n dɩkame.,"Mets une pierre sur les feuilles de papier, sinon le vent va les emporter."
Rĩ-y «karem la kelg soalma» zugu.,Cliquez sur «Lire et écouter des contes»
Rĩir nodr solgr yaa toogo.,La plaie au front se cache difficilement. (Proverbe: ce qui ne peut être tenu dans le secret doit être porté à la connaissance de tous.)
B rĩisa a nodrã tɩ koomã yita.,Ils appuient plusieurs fois sur la plaie pour que l'eau sorte.
Saagã kũmdame n rĩmda.,L'orage gronde et fait trembler.
A gãda tɩɩgã will n rĩms tɩ biis rʋʋge.,Il secoue la branche de l'arbre et les fruits tombent par terre.
Rĩng gĩsgã n kõ-m tɩ m sẽ fuugã.,Torde les fils pour moi pour que je puisse coudre l’habit.
Rĩya nodr solgr yaa toogo.,La plaie au front se cache difficilement. (Proverbe: ce qui ne peut être tenu dans le secret doit être porté à la connaissance de tous.)
M dɩta mui.,Je mange du riz.
"Wẽnd pa rɩt samd, la a yaood samde.","Dieu ne s'endette pas mais il rembourse le crédit. (Proverbe: l'homme ne doit pas se rendre justice car si les hommes ne lui rendent pas justice, dieu la lui rendra un jour. L'injustice est toujours réparée, ell ne peut rester impunie.)"
A tus-a lame n tɩ rɩdg ne lalgã.,Elle l'a poussé contre le mur.
B waa ka rɩẽ fo yĩnga.,Ils sont venus ici l'an passé à cause de toi.
B gãd-a-la rɩg-rɩg t'a kõn loog ye.,Ils l'ont tenu fermement pour qu'il puisse pas s'en aller.
A pʋgã weoogame n lebg rɩga.,Son ventre s'est contracté et est devenu dur au toucher.
Ad sẽn rɩg tẽnga.,Voilà ce qui est par terre.
Rɩgl raoogã.,Pose le bois à terre.
Wʋk fuugã fo sẽn rɩɩmã tɩ kʋɩɩme.,"Prend l'habit que tu as mis à sécher, il est sec."
Rɩk sebrã tɩ lʋɩɩme.,Ramasse le livre qui est tombé.
"To saoog n dɩkde, to zʋg pa rɩkd ye.","On imite la danse d'autrui, on n'imite pas les mauvaises caractères d'autrui. (Proverbe: on doit toujours s'inspirer des bons exemples qu'offre l'autre afin de s'améliorer. Cependant, on ne doit pas imiter les mauvais exemples qu l'autre offre, car nous ne ferons que nous détruire à ce moment.)"
A pag rɩka pʋga.,Sa femme est tombée enceinte.
A koodame n rɩlgd a koambã.,Il cultive pour nourrir ses enfants.
"rɩt 6 pʋɩɩbo, rɩt 5 pʋɩɩbo",divisible par 6; divisible par 5
Ned rɩt-n-taag la a zabd-n-taaga.,Proverbe : Le copain de chacun est son adversaire. (La cohabitation amène des tensions).
Bĩng tɩ maag gũuda rɩtba.,"Proverbe: Garder la nourriture pour qu'elle se froidisse, C'est attendre les mangeurs. (Il faut profiter de l'occasion)"
"Sɩlg yeelame tɩ yẽnda rɩta a yãoog pãnga, tɩ yɩbrg yet t'a rɩta Wẽnd sẽn kõ-a.","L'épervier dit qu'il se nourrit de la force de sa poitrine, le charognard dit qu'il se nourrit de la part que Dieu lui a réservée. (Proverbe: nous ne devons pas être des personnes d'injustice; nous devons nous contenter des occasions qui sont les nôtres.)"
A Zã rɩtame.,Jean est en train de manger.
"Goabg sã n zãad kãnde, a sõngda rɩtgo.","Quand la main gauche tient une lance, elle aide la main droite. (Proverbe: toute action constructive doit être encouragée d'où qu'elle vienne, car elle apporte toujours un soulagement et un plus.)"
A roo paga.,Il a fréquenté une femme.
Pʋg-yãang-kõsg são ro-vɩʋʋgo.,"Une vieille femme quinteuse vaut mieux qu'une maison vide. (Proverbe: on doit prendre soin des personnes âgées, car elles comblent un vide de leur vivant. Elles jouent un rôle très important au sein des nouvelles générations)"
ned doagd yaa a sẽn kĩ ne-a soaba.,Les parents de quelqu'un sont ceux qui sont apparentés avec lui.
Bʋ-roagenga.,Chèvre qui vient de mettre bas.
Ligd roaglgã yaa wãna?,Quel est le surplus de l'argent ?
Biigã bɩɩme n rodemde.,L'enfant a bien grandi en taille.
A kẽndame n dodsdẽ.,Il marche en se courbant.
Ãbrã sẽn be a nugẽ wã yaa rog-neongo.,La verrue qui est sur sa main est congénitale.
"Biig sã n dog pẽbre, a yaa rog-pa-tare.","Si un enfant est né prématurément, il est né avant terme."
Ka-koaad rogda kʋɩɩma.,"Le cultivateur met au monde un paresseux. (Proverbe: il faut s’attendre à tout dans sa progéniture: des enfants brillants, des enfants nuls, ... etc.)"
Pagã roga bi-riblã.,La femme a accouché un garçon.
rogem daar ka be yãnd ye.,Acte de naissance.
B rogenda fɩtlã fɩtl doagendgã zug tɩ neb nins sẽn kẽedã tõe n yãnd vẽenemã.,"On met la lampe sur un chandelier, afin que ceux qui entrent voient la lumière."
Rɩk laagã n rogl lalgã zugu.,Pose l'assiette sur le mur.
Pʋg-roagsa rogsdame.,La sage-femme a aidé à accoucher.
A pãb-a lame n dok a sũuri.,Il l'a frappé pour se venger.
Rok laagã sẽn be lalgã zugã.,Enlève l'assiette qui est sur le mur.
Wẽnd na rol f maan-sõngo.,Que Dieu rétribue ta bonne œuvre.
A rɩk kugrã n rol mobillã.,Il a utilisé la pierre pour caler la voiture.
Zuk noaag ronda bʋʋga.,"Qui vole une poule paiera une chèvre. (Proverbe: quand on commet un tort à quelqu'un ou une infraction quelconque, on sera condamné à réparer ce tort, à répondre de l'infraction)"
"Ned ning sẽn wat Wẽnnaam nengẽ, tog n tẽeme tɩ b beeme, la b ronda neb nins sẽn baood bãmbã. ",Celui qui s'approche de Dieu doit croire que Dieu existe et qu'il récompense ceux qui le cherchent.
Ra-wẽng rooda a ma roogẽ sãana.,L'homme laid fait la cour à l'étrangère de sa mère. (Proverbe: chacun doit profiter des opportunités qui se présentent à lui.)
roogã noor pagame.,La porte de la chambre est fermée.
A ra zõeeme n wa roog n yɛsẽ.,Il était courbé et s'est redressé.
a meta roogo.,il construit une maison.
Ra-roore.,Fréquentation du marché.
Rũmd põdame n zems rõabga.,Le genou est plié à la mesure de l'accroupissement. (Proverbe: il s'agit de toutes les situations où une solution est adaptée au problème pour lequel elle a été imaginée.)
"F sã n bãng tɩ pag na n bas-f-la vẽer, bɩ f bas-a rõandã.","Si tu es au courant que ta femme t'abandonnera l'année prochaine, il faut l'abandonner cette année. (Proverbe: quand des relations entre des parties se détériorent et ne semblent pas avoir des chances de se normaliser, chaque partie doit prendre des distances avant que la situation ne dégénère.)"
"Ya a Sʋtãan la sẽn boond tɩ rõatã, bala, a baood n dõda Wẽnnaam kambã wakat fãa.","C'est le diable qu'on appelle aussi tentateur, car il veut tenter les enfants de Dieu."
Ba-zĩrẽ bok tuudame t'a rõbẽ.,"Le trou d'un chien menteur se creuse en sa présence. (proverbe disant: quand quelqu’un rapporte des mensonges, il sera amené à apporter les preuves de ce qu'il dit.)"
A rõbend n pʋʋsa naabã.,Il s'est accroupi pour saluer le chef.
A rõbendga biigã t'a sã.,Elle a fait que l'enfant d’accroupi pour déféquer.
Rõbg biigã t'a sãame n sɛ.,Redresse l'enfant car il a fini de déféquer.
"Pondr pa yood / gãe pag, la a rõbg pa neer ye.","Le crapaud ne couche pas de femme, mais sa façon de s'accroupir n'est pas digne de confiance. (Proverbe: même quand on n'a pas l’intention de poser de mauvaises actions, il ne faut pas en donner l'impression. Il faut toujours être explicite dans les actions pour ne pas donner lieu à des fausses interprétations)"
A rõda maam tɩ maam n rɩk a weefo.,Il m'a accuse' d'avoir pris son vélo.
A Zã lʋɩɩme t'a rũmdã rõdge.,Jean est tombé et son genou s'est déboîté.
"B sã n tak sũudu, a rõnegdame.","Lorsqu’on tire un caoutchouc, il s’allonge."
Yaa lud / sool bĩnd n dɩ rõodo.,Il faut cacher les excréments pour manger du néré. Proverbe
A yika a gõeemẽ n yɛs n dõone.,Il s'est réveillé de son sommeil et s'étire.
Tãoosã rõonsa a tãp n gũusd we-rũms n na n tão.,Le chasseur tends son arc en attendant les animaux pour tirer.
Pagã rõosa samsa.,La femme fait des petits tas pour faire des beignets.
Waaf n kɛ-a tɩ b baood rõos n na n tɩp-a.,Un serpent l'a mordu et on cherche une antidote pour le guérir.
A lʋɩɩme t'a nugã rudg n yit zɩɩm.,Il est tombé par terre et sa main s'est écorché et du sang est sorti.
Koambã rugdame.,Les enfants nagent.
Koomã pida kʋlgã tɩ b rugs tõndo.,L'eau a rempli la rivière et ils nous ont aidé à la traverser.
Ning-y tɩ pid n duki.,Remplissez cela plus haut que le bord.
Kob-ruku.,Habit saillant.
Gʋ-ruudga.,Râpe à noix de cola.
Fo mobillã ruuga maam.,Ta voiture m'a frôlé.
"Katr yeelame tɩ yẽ bõosda Wẽnd t'a sõng-a t'a ta rũm-doogẽ, la a bas-a ne yiibã.","L’hyène dit que pourvu que dieu l'aide à accéder à l'enclos; pour la sortie, elle s'en charge. (Proverbe: face à ses objectifs, à ses ambitions, l'homme prend souvent des risques démesurés parfois même au prix de sa vie. On doit être raisonnable dans le but qu'on poursuit)"
A yĩga rũm-kuri.,Il est à genoux nus.
Yel-pʋg n yiisd rũm-pʋga.,Un problème en gestation fait que l'on vend un animal en gestation. (Proverbe: il s'agit de toutes les situations où l'homme est obligé de violer les lois et les interdictions afin de trouver une solution à une difficulté posée.)
Waaf n rũm-a.,C'est un serpent qui l'a mordu.
A rɩɩme n sa n dũmsd laagã.,Il a fini de manger et nettoie l’assiette avec le doigt.
Rũnda mam na n kẽng Bobo.,Aujourd'hui j'irai à Bobo.
peosg yaa yir dũnga.,Un mouton est un animal domestique.
maneg fuugã n dũng tɩ fʋbgame.,Prend un pagne et met l'enfant au dos (pour porter).
Nebã rũnugame n dabd logtor yirẽ.,Les gens s'aligne pour entrer au dispensaire.
A rʋʋ tɩɩgã.,Il a monté sur l'arbre.
A rʋdga kãnkãrã n maan wɩɩga.,Il a cassé la tige de mil à la jointure et en fait une flûte.
Rʋg-bɛd a yiib pa fõgend taab ye.,"Deux grosses jarres ne se recouvrent pas. (Proverbe: deux parties (personnes, partis politiques, pays etc.) qui revendiquent chaune la grandeur et la réputation ne peuvent pas collaborer ou cohabiter ensemble. Il aura toujours des tensions, des divergences et des disputes.)"
Yogr koom seka a rʋgbo.,"L'eau de la courge suffit pour sa cuisson. (Proverbe: il s'agit de l'autonomie de soi, on a tout qu'il faut pour réussir dans la vie)"
fo data nangur-n-dʋgdg bɩ kãado.,Veux-tu des arachides cuites ou bien crues.
A rʋgda mui.,Elle cuit du riz.
A rʋgenda bɛngã.,Elle met les haricots sur le feu (pour les cuire)
Reemã rʋkame tɩ warb saoodbã kuiisẽ.,Le spectacle s'est arrêté et les danseurs sont rentrés chez eux.
A kõbrã rʋkame.,Son os s'est désarticulé.
Pʋg-sãdã yikame n rʋkdẽ n ka le mi ned waoogr ye.,La jeune fille frime et ne respecte plus les gens.
A zĩi rʋla.,Elle est assis de façon immobile.
Biigã rʋlga a ninã n get wobgo.,L'enfant fais les fors yeux en regardant l'éléphant.
"Ra yet tɩ f ma yaa rʋmde, t'a yaool n moend baas ye.",Il ne faut pas dire que ta mère est la femme favorite alors qu'elle prépare pour les chiens. (proverbe indiquant: On doit éviter d'être prétentieux et cultiver la modestie et l'objectivité.)
wʋk nangurã rʋr a ye n kõ-ma.,donne-moi un tas d'arachides.
"Bãng yeelame tɩ tɩɩg rʋʋb la toogo, a sigb pa toog ye.","Le margouillat dit que c'est grimper à un arbre qui est difficile, en descendre ne l'est point. (proverbe signifiant: il y a différents niveaux de danger. Une fois maîtrisé un grand problème, on peut s'occuper des petits problèmes aussi.)"
"Põor sã n dʋʋd koanga, bɩ a pʋʋs a tɛɛnda.","Si le perclus grimpe au rônier, il doit remercier celui qui l'a aidé. (proverbe: quand une personne bénéficie du soutien de quelque ordre que ce soit, elle doit être reconnaissante à son bienfaiteur) "
A rʋʋdame.,Il a uriné.
A rugame n rʋʋg kʋɩlgã.,Il a traversé la rivière à la nage.
A rʋʋga teedã la a looge.,Il a déposé les affaires et est parti.
"Kʋɩlg sã n tõt rʋʋgre, a pa tõt lebgr ye.","Si le fleuve refuse qu'on le traverse, il ne peut pas refuser qu'on fasse demi-tour. (proverbe: quand une solution ne semble pas convenir à un problème, on doit chercher la meilleure solution. Il faut changer de chemin, trouver d'autres alternatives)"
Ko-kãsengã rʋʋnde.,L'autre rive du lac.
ãndã n dʋʋs foo be tɩ f ka le tõe n sigi?,Qui t'a fait monter et maintenant tu ne peux plus descendre?
A rʋʋsa mangã naas-naase.,Elle a disposé les manges en tas de quatre.
Zoetẽ la rʋʋtẽ rʋʋdem pa wʋkd puud ye.,"L'urine que l'on déverse en courant ne forme pas de mousse. (Proverbe: quand on n'a pas le choix ou la liberté, on ne peut que se contenter de la situation qui est donnée)"
B zaa bõangã t'a tirsdẽ.,Ils ont entravé l'âne aux pieds qu'il saute à cloche pied.
Za fuugu.,Raccommoder un habit.
Bas tɩ koomã sã n maag n wa ya za-za bɩ f yaool n so-a.,Lisse l'eau froidir un peu puis tu le laves.
A waa ka zaab-noorẽ (zaabr wẽndẽ).,Il est venu ici vers 17 heures.
Ne y zaabre.,Bonsoir.
Bãnkoang fãa zãada a zaabre.,Chaque circoncis tient sa canne.
Zaag bõangã n base.,Désentrave l'âne (de sa corde aux pieds).
Ning biigã põg t'a ra kẽnd a zaal woto ye.,Mets des caleçons à l'enfant pour qu'il ne marche pas nu comme ça.
A pãba biigã zaalem.,Elle a frappé l'enfant sans raison.
A yũuda ko-zaalga.,Il boit l'eau simple.
Mam waa zaamẽ. Zaamẽ b waa ka.,Je suis venu hier. Hier ils sont venus ici.
D pʋʋsd-y zaamẽbeoogo. Wẽnd na yao.,Nous vous remercions beaucoup. Que Dieu vous récompense.
Bʋ-zaanga.,Chèvre au pelage noir et blanc.
Rao wã kẽe raagã n pãbd zaas n wilgd pʋg-sadba.,L'homme est allé au marché montrer son élégance aux jeunes filles.
Nedã yaa zaato.,La personne est de teint clair.
Yaa tʋ taabã n mi n wat ne zab-kaoorã.,Les insultes réciproques déclenchent parfois une bagarre.
Bi-kãngã yaa zab-taasa.,Cet enfant est quelqu’un qui cherche la dispute avec d'autres.
«Yel-sõmd kugr paam zĩiga t'a vikr lebg toogo.» yaa naab a Kugr zab-yʋʋre.,"La devise du roi Naba Kougri était: « Lorsque la pierre du bienfait a creusé sa place, il est désormais difficile de l'ôter.»"
B zabd-n-taarã saame tɩ lebg zoodo.,Leur conflit est terminé et c'est devenu une relation d'amitié.
B zaba taab n ka le gomd ne to ye.,Ils se sont querellés et ils ne se parlent plus.
M zug n zabde.,C'est ma tête qui fait mal.
Bõn-zabɩ.,Âne au pelage roux.
A zĩime n wa wʋm b sẽn bool-a zabɩ.,Il était assis lorsqu'il a entendu qu'on l'appel brusquement.
Yẽ n zabl kambã taab n yaool n yɛs n getẽ tɩ b pãbd taaba.,Il a mis les enfants en conflit et puis il a regardé comment ils se frappent.
Zɩ to pʋg la zabre.,Proverbe : C'est de l'incompréhension de l'autre que naît la bagarre. (il faut une bonne communication pour vivre en paix : chercher à expliquer et à comprendre)
Sẽn na n sek pa zaeed ye.,"On ne se rue pas sur ce qui va suffire. (Proverbe: lorsqu'il y a assez de quelque chose, il n'y a pas à s’inquiéter et à se basculer pour en avoir.)"
F boonda a yʋʋrã neb sʋk zag-zag woto tɩ bõe?,Pourquoi appelles-tu son nom parmi les gens d'une manière si forte et tranchante ?
Ãnda n miim tɩɩgã zag-zag woto?,Qui a secoué l'arbre si fortement?
A lʋɩɩme n gãand zaga.,Il est tombé et est couché les quartes jambes en l'air.
A tool n boola a biigã zaga.,Il a appelé de loin son enfant avec une voix forte et tranchante.
A taba bɛgdã tɩ zag a nao wã.,Il a marché dans la boue et la boue s'est collé à ses pieds.
B taa piig n zage.,Ils sont arrivés à dix et l'ont dépassé.
Yɩɩn-yɩɩndã koɛɛg zagdame.,La voix du chanteur porte loin.
A zagl kẽnd n wãagda fu-pogdo.,Un tel est allé acheter des pagnes en gros.
A yera warb teed n kẽnd zaglem-zaglem.,Il porte un habit de danseur avec des objets qui pendent un peu d'une manière désordonnée.
Zoees ne zagemdg pa tõe n naag taab ye.,"Courir et se gratter ne peuvent pas avoir lieu à la fois. (proverbe, il est difficile de poursuivre plusieurs objectifs incompatibles à la fois)"
